id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
57bc5109-8971-4cdf-8890-dc1eb0c362cb,Gael Caldeira,1984-08-30,186.611.127-27,67276-342,Rios dos Dourados,SC,Brasil,M,+55 31 4323 0175,18661112727@exemplo.com.br,2023-12-11
1d6739b7-5f3a-40a1-8309-3567f7a574d4,Maysa Cirino,1997-09-25,056.235.062-06,39988-994,Dias,PA,Brasil,M,51 6485 0564,05623506206@exemplo.com.br,2023-09-01
005e1c1d-3e5a-44e2-a6c6-a1d2b7e72f4b,Yan Correia,1970-06-11,398.140.228-13,81199-496,Nogueira Paulista,PI,Brasil,F,(031) 1649-1788,39814022813@exemplo.com.br,2023-11-18
2a8969cf-336d-4164-8c21-9f7cfd1f356f,Luiz Fernando Rezende,1976-11-08,156.241.619-75,65958-159,Barros do Norte,RS,Brasil,M,(011) 3716-2338,15624161975@exemplo.com.br,2024-05-05
621cdd7c-9149-416c-ab03-5c86633116e6,Olívia Cardoso,1985-05-30,110.035.330-28,09505502,Pereira,AC,Brasil,M,+55 11 3151 4985,11003533028@exemplo.com.br,2024-08-03
801e2faf-1897-4f5e-a5c2-527df2397447,Srta. Luara Carvalho,1963-11-24,170.867.372-21,04620303,Ramos,AC,Brasil,M,84 3777 1318,17086737221@exemplo.com.br,2024-03-27
6a8a1307-926e-4a24-a982-887216922dbe,Sra. Maria Novaes,1986-10-10,150.555.732-27,81642-993,Almeida de Goiás,MS,Brasil,M,51 6142 1318,15055573227@exemplo.com.br,2024-04-19
2991b220-8f2e-4f92-98c2-c220e62fda61,Clarice Sousa,1937-10-03,215.768.706-09,30049-264,Farias,RO,Brasil,M,11 7491 0983,21576870609@exemplo.com.br,2024-07-20
166e8511-d45c-4f52-9bca-46e4de899b80,Bárbara Sampaio,1959-06-06,653.066.849-66,94927679,Pires,MS,Brasil,F,+55 (021) 4391 3691,65306684966@exemplo.com.br,2025-06-30
cf6efc9c-8af9-4484-b837-d73831797ee9,Dr. Rodrigo Moura,1985-10-02,397.452.888-28,26337188,Teixeira do Norte,RJ,Brasil,M,+55 (061) 5100-3404,39745288828@exemplo.com.br,2024-10-19
